port,mean_rtt,bandwidth_port,port_retrans,cwn_half_port,packet_loss,x1,cwnd_half_rate,x2,ratio
4240260001,302.00103814339775,10142000,210,346,0.00014788732394366196,3154166.666818097,0.0002436619718309859,2457288.995659766,0.6069364161849711
4241260001,301.510933994173,9385000,141,328,0.00010736040609137056,3707946.079484276,0.00024974619289340103,2431118.0317805735,0.4298780487804878
4241460001,301.5401540522438,10422000,211,311,0.0001451834862385321,3188267.7492712694,0.0002139908256880734,2626127.5709384102,0.6784565916398714
4241860001,301.82860013395845,10422000,176,309,0.00012110091743119266,3487582.122080809,0.00021261467889908256,2632094.8590615466,0.56957928802589
4242660001,307.0590776650256,8994000,166,370,0.0001324468085106383,3278052.153485319,0.0002952127659574468,2195679.974023301,0.4486486486486487
4243060001,301.6622458890117,9466000,167,358,0.0001265151515151515,3414022.0269639576,0.00027121212121212124,2331755.6677603135,0.4664804469273743
4243460001,301.4263848884721,9664000,174,349,0.00012857142857142858,3389261.272832517,0.0002578817733990148,2393133.685345169,0.498567335243553
4243860001,301.59679147967046,8062000,223,412,0.00019792899408284023,2730090.9988724184,0.0003656804733727811,2008542.1343527092,0.5412621359223301
4244460001,301.38242288240616,7835000,178,401,0.00016280487804878048,3012360.34757809,0.00036676829268292684,2006987.821100054,0.44389027431421446
4245460001,301.68111330676226,8884000,150,362,0.00012096774193548387,3491207.3225531704,0.00029193548387096776,2247330.6973870224,0.4143646408839779
5247660002,302.97066711364397,9455000,155,327,0.00011742424242424243,3528410.308042238,0.0002477272727272727,2429243.531210391,0.4740061162079511
5248460002,302.92281384120173,11529000,165,313,0.00010227272727272727,3781348.002379313,0.0001940082644628099,2745468.411527229,0.5271565495207667
5248860002,303.3351889734733,11272000,144,306,9.152542372881355e-05,3991764.2136309943,0.0001944915254237288,2738327.6594408597,0.47058823529411764
5249660002,308.3814315422285,10847000,129,304,8.524229074889868e-05,4068579.182377925,0.00020088105726872246,2650335.391302661,0.4243421052631579
5251260002,302.9659487385937,10101000,137,301,9.693396226415094e-05,3883530.735415231,0.00021297169811320755,2620015.0282907756,0.45514950166112955
5252260002,302.99114183135924,9041000,148,363,0.00011746031746031746,3527630.037610932,0.0002880952380952381,2252478.0996625246,0.40771349862258954
5253660002,302.99711390026175,8872000,161,385,0.00012983870967741936,3355196.5119152907,0.00031048387096774195,2169704.226060134,0.41818181818181815
5253860002,303.1553720672641,10363000,144,330,9.953917050691245e-05,3829977.9323085635,0.000228110599078341,2530000.1548231854,0.43636363636363634
5255460002,302.8320408231779,8965000,185,373,0.0001476063829787234,3148503.3260937305,0.0002976063829787234,2217356.915700321,0.4959785522788204
5256660002,303.0617151299443,8470000,149,367,0.00012627118644067796,3401538.1140971496,0.0003110169491525424,2167381.9071926014,0.40599455040871935
4893260003,303.17234664070105,10899000,113,300,7.434210526315789e-05,4431507.9807141395,0.00019736842105263157,2719757.168752413,0.37666666666666665
4894460003,303.60834228909187,9822000,140,359,0.00010194174757281553,3778929.6857860903,0.0002614077669902913,2359856.55329601,0.38997214484679665
4894660003,303.2619751427612,10148000,150,333,0.00010563380281690141,3716542.7467410113,0.00023450704225352114,2494380.1689369916,0.45045045045045046
4896060003,303.3241272721164,11569000,124,297,7.685950413223141e-05,4356149.770795902,0.00018409090909090909,2814721.438379569,0.4175084175084175
4897260003,303.14924219511374,8802000,174,415,0.00014184782608695653,3208416.3420849834,0.00033831521739130434,2077501.2584940959,0.41927710843373495
4898660003,303.1738487394958,10486000,146,301,9.954545454545455e-05,3829623.6348859277,0.00020522727272727272,2667161.2623366187,0.4850498338870432
4899060003,308.63249731038195,10963000,104,290,6.782608695652173e-05,4557414.3421621835,0.0001891304347826087,2729205.170740564,0.3586206896551724
4900460003,302.8587281837442,10719000,167,298,0.00011133333333333333,3624981.951164687,0.00019866666666666668,2713663.2429363662,0.5604026845637584
4901860003,303.5517473344321,9886000,118,360,8.55072463768116e-05,4126903.8557025166,0.00026086956521739134,2362730.0483157253,0.3277777777777778
4903060003,303.0057192840802,8598000,194,392,0.00016166666666666668,3006751.1167852604,0.0003266666666666667,2115218.8710435475,0.49489795918367346
3287460004,308.6699956286358,9624000,166,317,0.00012326732673267326,3380182.463107561,0.0002353960396039604,2446045.6456732973,0.5236593059936908
3289060004,303.06555006222044,8575000,119,373,9.916666666666666e-05,3838301.7935371893,0.0003108333333333333,2167994.5381042673,0.3190348525469169
3289260004,302.87008880516686,8843000,174,345,0.00014108108108108107,3220088.252396578,0.0002797297297297297,2286824.5773806507,0.5043478260869565
3289860004,303.08717741664145,8348000,165,417,0.00014142857142857143,3213826.3583761575,0.0003574285714285714,2021605.2322592782,0.39568345323741005
3291460004,303.0796567390207,10026000,162,319,0.00011571428571428571,3553106.889327821,0.00022785714285714285,2532039.278650225,0.5078369905956113
3291660004,302.89030260190515,8505000,148,361,0.0001247191011235955,3424575.0927287764,0.00030421348314606743,2192723.9006571737,0.4099722991689751
3292060004,303.08709851188473,8750000,180,394,0.00014754098360655738,3146550.899866763,0.00032295081967213113,2126781.642953887,0.45685279187817257
3293260004,303.0341123383621,10363000,163,306,0.00011267281105990783,3601284.7716062814,0.00021152073732718895,2628394.5228999127,0.5326797385620915
3294860004,302.97830919501513,10142000,131,328,9.225352112676056e-05,3980664.131950254,0.00023098591549295774,2515673.4224321814,0.39939024390243905
3295660004,302.84655033014417,9560000,126,341,9.45e-05,3934775.997970606,0.00025575,2391817.816543805,0.36950146627565983
