port,mean_rtt,bandwidth_port,port_retrans,cwn_half_port,packet_loss,x1,cwnd_half_rate,x2,ratio
4566060001,200.6995258,10323000,309,386,0.000214583,3940163.184,0.000268056,3525330.157,0.800518135
3699060002,203.3268179,9460000,388,466,0.000293939,3323035.552,0.00035303,3032200.34,0.832618026
3350460003,201.5778738,10200000,238,444,0.000166822,4449266.99,0.000311215,3257507.775,0.536036036
4603860004,202.8320182,9641000,356,456,0.000264356,3512587.028,0.000338614,3103628.068,0.780701754
5283660005,202.1493831,9717000,253,380,0.000186029,4201412.49,0.000279412,3428181.322,0.665789474
5756260006,202.3995504,9577000,276,422,0.00020597,3987923.912,0.000314925,3225114.807,0.654028436
3657060007,202.0598212,10037000,286,376,0.000204286,4011063.947,0.000268571,3498232.578,0.760638298
5329060008,202.2885864,9542000,288,414,0.000216,3896370.923,0.0003105,3249798,0.695652174
3479660009,201.4278793,9932000,239,399,0.000172356,4380523.917,0.00028774,3390303.348,0.598997494
5536860010,202.7226148,11377000,287,350,0.000180882,4248721.361,0.000220588,3847380.827,0.82
3283460001,200.9502358,9391000,256,420,0.000194924,4128930.091,0.000319797,3223538.541,0.60952381
4318660002,202.4606658,10160000,281,419,0.000197887,4067325.227,0.00029507,3330849.797,0.670644391
3359060003,201.6355173,10422000,246,375,0.000169266,4415771.365,0.000258028,3576502.217,0.656
5523860004,202.5308139,9292000,370,440,0.000284615,3390300.978,0.000338462,3108943.136,0.840909091
4629860005,202.6580248,9245000,269,411,0.00020799,3963454.152,0.000317784,3206483.931,0.654501217
4292460006,206.4286246,9827000,277,425,0.000201699,3951270.171,0.000309466,3189937.29,0.651764706
4282460007,203.2043812,9897000,302,425,0.000218841,3853554.924,0.000307971,3248407.913,0.710588235
4798060008,203.1387661,10229000,283,417,0.000198364,4048869.49,0.00029229,3335484.819,0.678657074
5467260009,205.8869185,10148000,312,385,0.000219718,3795741.869,0.000271127,3416989.173,0.81038961
4294260010,202.7183441,11791000,293,367,0.000177935,4283852.764,0.000222874,3827677.275,0.798365123
5403060001,201.0287514,8919000,289,427,0.000231818,3784657.873,0.000342513,3113591.335,0.676814988
5476260002,202.6584255,8785000,387,467,0.000315489,3218115.923,0.000380707,2929535.239,0.82869379
