time_duration,ports,Base_RTT(ms),BW,total_data_seg_out,total_cwnd_half,total_retransmission_ss,total_retransmission_iperf,total_retransmission_ss/total_cwnd_half,total_retransmission_iperf/total_cwnd_half,C_ss,C_iperf,C_cwnd,C_router,router_dropped,router_sent,router_dropped/total_cwnd_half,mdape_ss,mdape_iperf,mdape_cwnd,mdape_router
3600,1000,20,8780200,2727843242,75864,359609,359609,4.740179795423389,4.740179795423389,2.745428755706345,2.745428755706345,1.3284517297454073,2.7397654145890655,321576,2728417668,4.238848465675419,11.588264929085723,11.588264929085723,1.331712875334782,6.0975053627026
3600,3000,20,8616034,2675407004,622473,1949503,1949474,3.1318675669466787,3.1318209785805973,2.239721731399115,2.239712118320674,1.2866032896686965,2.2651717616729408,1928296,2676745022,3.0977986193778686,5.681361524395942,5.680907930896435,0.9533862885352663,3.430406097825095
3600,5000,20,8665154,2682578560,1636004,4209106,4212199,2.5727968880271685,2.5746874702017846,2.021965112407632,2.022710516447602,1.2685571957267616,2.0254296430186725,4183131,2691737751,2.5569197874821823,3.7512171301968813,3.786478793533293,1.2271553551082046,2.651727726488693
3600,1000,100,8780782,2728792563,53834,345466,345466,6.417245606865549,6.417245606865549,3.2375941868637232,3.2375941868637232,1.3655520735414821,3.2267579119862297,298096,2728759132,5.53731842330126,13.228684410619918,13.228684410619918,2.2792976409158032,9.771330913499323
3600,2999,100,8574729,2661748638,433996,1618483,1618464,3.7292578733444546,3.7292140941391163,2.434463910630378,2.4344514429112887,1.3097644787985234,2.4977910102457592,1577625,2663795159,3.635114148517498,9.265693528170592,9.265133941328056,1.1228552721674745,3.944257312055858
3600,5000,100,8676260,2688137685,1143416,3281672,3282071,2.8700595408845073,2.8704084952458246,2.1253389303254617,2.125491405632064,1.282803534258376,2.162439416847662,3255514,2694992835,2.847182477768371,6.959788826739794,6.965250019382544,1.2874787069937617,3.1786930720756446
3600,998,200,8919040,2771933422,37900,357041,357041,9.420606860158312,9.420606860158312,3.642017204720248,3.642017204720248,1.3599248085265243,3.935555231453357,301284,2771696003,7.949445910290238,20.44915877408602,20.44915877408602,2.669710098689461,17.002927989925475
3600,3000,200,8622450,2678883199,303647,1343441,1343441,4.424351302663949,4.424351302663949,2.5489533168261382,2.5489533168261382,1.317079914927982,2.636281492443836,1212310,2678460531,3.9924978675896683,13.904737659106663,13.904737659106663,1.1448061780585153,5.515089591331581
3600,5000,200,8536169,2648455098,794295,2780732,2780732,3.500880655172197,3.500880655172197,2.3525765897389017,2.3525765897389017,1.2913710483147893,2.4137447972167547,2774075,2650875850,3.4924996380438,7.004273635430633,7.004273635430633,0.8337841485728057,3.2354616412023236
10800,10,20,95732,89259100,4009,9179,9179,2.2895984035919184,2.2895984035919184,1.9007098126863524,1.9007098126863524,1.2875252082863067,1.9516285900399155,9179,89257163,2.2895984035919184,10.294811974731441,10.294811974731441,0.2559681693187176,5.276366012422708
10800,30,20,95763,89333740,32736,64839,64839,1.9806634897360704,1.9806634897360704,1.7580713003941804,1.7580713003941804,1.2591796470166545,1.7761195222068231,64839,89276541,1.9806634897360704,2.816221353874746,2.816221353874746,0.21917187404515756,3.8241736234131642
10800,50,20,95709,89381941,85694,161653,161653,1.8863981142203654,1.8863981142203654,1.6881173177937583,1.6881173177937583,1.2371940831402188,1.7023918930828428,161653,89228732,1.8863981142203654,1.4047534030313038,1.4047534030313038,0.24674646924651156,3.9534236802158356
10800,10,100,95695,89223187,2495,6271,6271,2.513426853707415,2.513426853707415,1.9346189697211524,1.9346189697211524,1.2940443396539956,2.0525068977726746,6271,89223909,2.513426853707415,14.068211290677294,14.068211290677294,0.37621169512835645,3.0513954549702675
10800,30,100,95708,89258749,20474,38913,38913,1.900605646185406,1.900605646185406,1.7396477612599686,1.7396477612599686,1.272370188552411,1.7545902709477774,38913,89227507,1.900605646185406,4.00387732536125,4.00387732536125,0.18249354936268322,1.002332898633832
10800,50,100,95738,89343809,53814,99303,99303,1.8453004794291448,1.8453004794291448,1.6987831816491132,1.6987831816491132,1.253149032380307,1.7034224680726142,99303,89252417,1.8453004794291448,1.9225024072977246,1.9225024072977246,0.17908513294761377,1.2019860826589142
10800,10,200,95704,89231830,1469,6278,6278,4.273655547991831,4.273655547991831,2.5367447618938757,2.5367447618938757,1.3034773124826613,2.699392442986374,6278,89232661,4.273655547991831,13.054802430777546,13.054802430777546,0.38731724169557413,3.6468369055579792
10800,30,200,95701,89237638,12522,27488,27488,2.1951764893786936,2.1951764893786936,1.8223743841370283,1.8223743841370283,1.2796548070363338,1.9031988489990694,27488,89217806,2.1951764893786936,7.879281087056822,7.879281087056822,0.6711337617334662,10.865454482544129
10800,50,200,95727,89296733,33441,65405,65405,1.955832660506564,1.955832660506564,1.7443792647161998,1.7443792647161998,1.2634154498557904,1.7688667064117254,65405,89239296,1.955832660506564,4.378934860940065,4.378934860940065,0.36817299503870865,3.8301771347160716
10800,100,20,990838,923897711,51970,141723,141720,2.727015585914951,2.7269578603040214,2.1071657133924195,2.10714156333869,1.281998463033859,2.118101083819458,141723,923769525,2.727015585914951,2.632750051077442,2.632719877344648,0.3252046065663494,2.444320072467872
10800,300,20,992790,926562524,427855,1040372,1040335,2.4315994904815885,2.4315130125860396,1.9548234082129754,1.9547886645205064,1.2550096793338714,1.9587044146100703,1040404,925546907,2.431674282175036,1.4766876586867803,1.478438744565251,0.28269783629381334,2.1081383009864183
