port,mean_rtt,bandwidth_port,port_retrans,cwn_half_port,packet_loss,x1,cwnd_half_rate,x2,ratio
3961260001,242.61681776001143,9944000,172,376,0.00012403846153846154,4287059.007948921,0.00027115384615384615,2899544.3925275127,0.4574468085106383
4214060001,242.6349756618782,9717000,179,383,0.00013161764705882354,4161482.6015319135,0.0002816176470588235,2844953.7581170215,0.46736292428198434
5660660001,242.62659852626575,8700000,221,390,0.00018214285714285714,3537643.5102839945,0.0003214285714285714,2663041.2895755474,0.5666666666666667
5688860001,242.5924235942773,9000000,232,408,0.00018412698412698412,3519026.973041797,0.0003238095238095238,2653606.403844959,0.5686274509803921
4967860001,242.50614525139665,9332000,189,369,0.00014464285714285715,3971799.3880074406,0.00028239795918367345,2842529.7816836652,0.5121951219512195
5794660001,242.58386820710314,10171000,253,318,0.00017816901408450705,3577507.422452052,0.000223943661971831,3191003.2321124556,0.7955974842767296
6088060001,242.52500416141535,9361000,224,322,0.00017142857142857143,3648047.001306128,0.00024642857142857143,3042681.5317200636,0.6956521739130435
4678660001,242.45520207180024,10348000,192,310,0.00013271889400921658,4147254.2913933564,0.00021428571428571427,3263851.81423396,0.6193548387096774
4137060001,242.412215192884,10783000,203,316,0.00013473451327433627,4116845.9829032673,0.00020973451327433628,3299659.280420889,0.6424050632911392
5266260001,242.36589246698964,8435000,199,396,0.00016864406779661017,3680454.9963538796,0.00033559322033898303,2609038.3145733546,0.5025252525252525
